year,YoY Change,volatility,code
1950,-5.950626381724399,25.646546074687578,JPN
1951,64.34867776689521,16.113831435347013,JPN
1952,117.45530393325384,17.737491149159855,JPN
1953,-0.5508509413795881,28.376410484339175,JPN
1954,-0.4905202821869459,14.933791441370158,JPN
1955,18.690113541955135,10.198313271679377,JPN
1956,28.19944469073008,10.126364695959749,JPN
1957,-12.346892346892346,13.30025776527891,JPN
1958,39.382487905151464,10.169075666137767,JPN
1959,29.504826599928503,13.212467818444479,JPN
1960,57.21581889709435,14.678643596756473,JPN
1961,4.284648140831471,18.633003700725194,JPN
1962,-0.4946327089033864,16.988779587714266,JPN
1963,-15.002291556495685,16.313615396894214,JPN
1964,1.794306002588164,11.48129339539881,JPN
1965,16.54456405701201,17.22180553610145,JPN
1966,0.7845440624278721,12.278033319261429,JPN
1967,-12.146945571859714,12.454870677125367,JPN
1968,38.60787983605394,12.817492286748676,JPN
1969,36.90282881804974,14.213424217323192,JPN
1970,-16.709740516470028,18.56569810701831,JPN
1971,35.52469845203714,18.998128548946386,JPN
1972,92.93001168745461,15.238669077332357,JPN
1973,-18.606651047419575,20.480902863091156,JPN
1974,-12.716472577009764,18.376732639409017,JPN
1975,18.438876903792266,12.952553155214833,JPN
1976,13.531271433957293,9.607084340695176,JPN
1977,-2.6194024625664003,10.595163026126425,JPN
1978,24.11014172406638,7.1070451192557424,JPN
1979,8.583695959825022,8.692212172889006,JPN
1980,9.005725470110493,7.572647237456445,JPN
1981,7.4240485529894595,14.440769171488533,JPN
1982,4.358721348010364,12.096625246166749,JPN
1983,23.41558277938345,8.955171742243751,JPN
1984,16.66474627595813,11.801480468667517,JPN
1985,13.346906242960866,9.425523287380711,JPN
1986,43.85264133031876,14.720578451468679,JPN
1987,12.733668074705772,26.558506555569434,JPN
1988,42.544200322005324,11.96150699795661,JPN
1989,28.00329060702309,8.769806434394836,JPN
1990,-37.826428826788394,32.42551239935915,JPN
1991,-1.1134571264995285,20.90956350929715,JPN
1992,-28.59984252881579,29.675370375950777,JPN
1993,2.21053449201134,20.27706577904712,JPN
1994,13.323745778578132,17.747350473615263,JPN
1995,4.744757681857981,22.563829459644904,JPN
1996,-5.68435347754389,15.358481009809697,JPN
1997,-23.085261750488527,27.526772502092367,JPN
1998,-10.302644141409555,26.93421095558852,JPN
1999,41.64442314300432,20.251032293150743,JPN
2000,-27.95037168089435,22.426912535350237,JPN
2001,-20.596735636515817,29.006415403185326,JPN
2002,-19.851556686341986,25.595994068718323,JPN
2003,24.236887619314306,22.64830077264712,JPN
2004,6.397867192847784,17.774728269488733,JPN
2005,42.055002062034696,13.37956063530379,JPN
2006,6.063793505990245,19.725122924656002,JPN
2007,-15.341192958031346,18.27018417115255,JPN
2008,-38.44620768190391,45.69873971115701,JPN
2009,17.822056989180734,27.38807483607256,JPN
2010,-2.4091511892773143,20.634408160327997,JPN
2011,-17.67621007684096,23.172129939184924,JPN
2012,24.85949362800244,16.126951031348224,JPN
2013,48.846521976289516,26.560548555295487,JPN
2014,9.427627840551933,20.055334303271625,JPN
2015,5.987060500174923,20.816997502456303,JPN
2016,6.195768463246942,26.77232660667526,JPN
2017,19.966000073491298,11.780430344987698,JPN
2018,-16.780033293159768,19.026298031774846,JPN
2019,18.622367083870948,13.536263811651088,JPN
2020,17.468409634878213,25.470929235067782,JPN
2021,7.496446964199643,18.344779839691302,JPN
2022,-12.234508540263246,20.099718276539186,JPN
